Success_Count,Timeout_Count,Average_Response_Time,Total_Time_Taken
1,7,402.29501700401306,405.09
1,7,567.5203399658203,570.38
0,8,nan,274.69
1,7,292.2819640636444,420.61
0,8,nan,243.31
1,7,444.1006760597229,446.78
1,7,309.64515113830566,390.60
0,8,nan,412.92
0,8,nan,643.08
2,6,406.6936583518982,573.09
