Success_Count,Timeout_Count,Average_Response_Time,Total_Time_Taken
1,3,320.9566299915314,323.0840618610382
1,3,345.9171199798584,348.6079478263855
1,3,333.601576089859,336.05111503601074
1,3,266.29041624069214,322.2210817337036
1,3,255.58291292190552,345.64436507225037
0,4,nan,375.381893157959
1,3,302.590350151062,304.9513781070709
0,4,nan,245.80674600601196
0,4,nan,208.66091084480286
0,4,nan,260.0774049758911
